CustomerID,Name,Age,Gender,Country,SignupDate,OrderDate,PurchaseAmount,Quantity
CUST1009,Elizabeth Davis,100,Male,Canada,2021-02-25,2022-11-16,699.22,4
CUST1285,Jessica Anderson,47,Unknown,UK,2019-01-26,2024-03-22,527.47,2
CUST1674,Sarah Rodriguez,34,Female,India,2018-06-10,2024-11-28,551.77,1
CUST1099,Thomas Jackson,27,Female,UK,2018-10-12,2024-07-06,294.88,9
CUST1667,Elizabeth Jackson,27,Female,USA,2018-04-01,2022-05-01,367.59,9
CUST1643,Joseph Wilson,53,Male,India,2021-07-10,2024-05-23,646.69,1
CUST1171,Jessica Moore,54,Male,UK,2022-06-18,2024-08-18,90.91,4
CUST1632,Jessica Brown,28,Female,USA,2018-05-19,2023-02-03,373.99,5
CUST1572,Jessica Martinez,42,Male,USA,2020-03-27,2024-04-23,623.07,7
CUST1306,Thomas Martin,61,Female,UK,2022-05-14,2022-03-05,369.72,10
CUST1910,Linda Jackson,40,Male,India,2020-09-27,2023-04-05,597.96,9
CUST1472,Michael Smith,59,Male,Canada,2019-07-27,2022-05-25,343.28,3
CUST1451,James Gonzalez,37,Female,India,2018-02-06,2024-12-25,551.75,6
CUST1094,Sarah Davis,69,Female,USA,2020-11-19,2023-05-25,340.74,4
CUST1890,Mary Anderson,18,Male,USA,2019-05-05,2024-02-23,680.41,4
CUST1408,Charles Taylor,46,Female,UK,2022-03-26,2022-05-08,237.64,3
CUST1484,Thomas Martin,62,Female,India,2019-09-20,2024-06-26,705.97,9
CUST1768,Susan Martin,22,Female,India,2022-01-08,2022-06-12,11.26,7
CUST1679,Barbara Martinez,50,Unknown,USA,2018-12-09,2024-04-14,35.39,4
CUST1452,Joseph Thomas,26,Female,USA,2022-06-26,2022-02-14,702.35,10
CUST1518,Jessica Anderson,39,Female,India,2020-07-11,2022-08-26,736.76,4
CUST1625,Elizabeth Davis,28,Female,USA,2022-07-05,2023-10-02,659.78,10
CUST1635,John Davis,47,Male,UK,2021-08-21,2022-02-06,738.77,4
CUST1478,David Wilson,32,Male,India,2019-08-09,2023-01-25,684.19,10
CUST1473,Joseph Thomas,73,Female,India,2019-04-10,2022-06-01,573.34,8
CUST1319,Linda Moore,30,Unknown,Canada,2019-10-21,2024-12-18,615.36,8
CUST1204,Jessica Smith,57,Male,USA,2019-06-23,2023-01-01,734.61,9
CUST1284,Susan Williams,100,Female,USA,2022-01-24,2023-10-21,482.0,3
CUST1172,Elizabeth Johnson,40,Male,India,2018-04-07,2024-10-21,120.0,4
CUST1153,Karen Martin,43,Female,USA,2020-08-16,2023-09-13,472.84,10
CUST1808,Mary Gonzalez,63,Female,USA,2020-10-19,2022-02-02,301.86,2
CUST1614,John Miller,66,Female,USA,2020-06-16,2022-01-18,107.23,2
CUST1742,Robert Johnson,54,Female,USA,2020-12-07,2024-08-11,570.01,2
CUST1360,Charles Anderson,37,Female,USA,2022-02-25,2024-03-03,255.21,8
CUST1504,David Smith,26,Male,India,2021-01-01,2023-09-23,435.12,2
CUST1693,Karen Smith,38,Male,Canada,2021-07-05,2022-05-16,188.14,7
CUST1186,Mary Davis,45,Male,India,2022-10-02,2024-12-22,569.24,3
CUST1446,Linda Wilson,24,Male,USA,2020-08-14,2024-01-16,99.24,8
CUST1682,Barbara Anderson,47,Female,UK,2021-01-18,2023-02-25,248.89,9
CUST1591,Barbara Davis,60,Unknown,Canada,2022-01-20,2022-11-25,299.97,6
CUST1013,Joseph Jones,35,Female,USA,2018-08-26,2022-11-18,741.83,3
CUST1671,Jennifer Miller,36,Female,Canada,2018-02-06,2024-05-28,548.34,6
CUST1409,Barbara Martinez,28,Male,Canada,2022-05-06,2024-12-22,102.36,10
CUST1054,Michael Rodriguez,36,Female,Canada,2021-02-01,2024-03-10,83.64,2
CUST1702,Charles Johnson,18,Male,USA,2018-01-05,2022-05-02,527.62,5
CUST1426,Sarah Smith,24,Male,India,2021-06-23,2023-11-04,785.23,9
CUST1952,Richard Martin,19,Male,Canada,2018-08-23,2023-10-12,397.86,7
CUST1609,John Moore,26,Female,India,2020-06-02,2023-04-24,777.57,10
CUST1783,Karen Brown,31,Male,USA,2022-05-06,2024-07-18,182.02,5
CUST1653,Barbara Brown,19,Female,USA,2019-02-24,2023-05-16,285.36,5
CUST1903,Elizabeth Davis,45,Male,UK,2020-04-05,2022-01-21,377.3,3
CUST1098,Thomas Wilson,36,Male,UK,2018-01-08,2024-10-15,725.07,1
